bin,x_low_s,x_center_s,x_high_s,total_A,hole_A,electron_A
1,0.000000000000e+00,2.500000000000e-11,5.000000000000e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,5.000000000000e-11,7.500000000000e-11,1.000000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3,1.000000000000e-10,1.250000000000e-10,1.500000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4,1.500000000000e-10,1.750000000000e-10,2.000000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5,2.000000000000e-10,2.250000000000e-10,2.500000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6,2.500000000000e-10,2.750000000000e-10,3.000000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
7,3.000000000000e-10,3.250000000000e-10,3.500000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
8,3.500000000000e-10,3.750000000000e-10,4.000000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
9,4.000000000000e-10,4.250000000000e-10,4.500000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
10,4.500000000000e-10,4.750000000000e-10,5.000000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
11,5.000000000000e-10,5.250000000000e-10,5.500000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
12,5.500000000000e-10,5.750000000000e-10,6.000000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
13,6.000000000000e-10,6.250000000000e-10,6.500000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
14,6.500000000000e-10,6.750000000000e-10,7.000000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
15,7.000000000000e-10,7.250000000000e-10,7.500000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
16,7.500000000000e-10,7.750000000000e-10,8.000000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
17,8.000000000000e-10,8.250000000000e-10,8.500000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
18,8.500000000000e-10,8.750000000000e-10,9.000000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
19,9.000000000000e-10,9.250000000000e-10,9.500000000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
20,9.500000000000e-10,9.750000000000e-10,1.000000000000e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
21,1.000000000000e-09,1.025000000000e-09,1.050000000000e-09,-2.026815127465e-05,-8.563953997509e-06,-1.170419636765e-05
22,1.050000000000e-09,1.075000000000e-09,1.100000000000e-09,-1.197317214974e-05,-5.308359050105e-06,-6.664813099633e-06
23,1.100000000000e-09,1.125000000000e-09,1.150000000000e-09,-1.693475860520e-05,-8.376996447623e-06,-8.557763067074e-06
24,1.150000000000e-09,1.175000000000e-09,1.200000000000e-09,-1.005097874440e-05,-5.862774287380e-06,-4.188204002276e-06
25,1.200000000000e-09,1.225000000000e-09,1.250000000000e-09,-1.240258279722e-05,-8.181045814126e-06,-4.221536528348e-06
26,1.250000000000e-09,1.275000000000e-09,1.300000000000e-09,-7.150489636842e-06,-5.613103894575e-06,-1.537385742267e-06
27,1.300000000000e-09,1.325000000000e-09,1.350000000000e-09,-8.673830052430e-06,-8.588025593781e-06,-8.580418864312e-08
28,1.350000000000e-09,1.375000000000e-09,1.400000000000e-09,-5.560668796534e-06,-5.560668796534e-06,0.000000000000e+00
29,1.400000000000e-09,1.425000000000e-09,1.450000000000e-09,-8.383736712858e-06,-8.383736712858e-06,0.000000000000e+00
30,1.450000000000e-09,1.475000000000e-09,1.500000000000e-09,-5.641945335810e-06,-5.641945335810e-06,0.000000000000e+00
31,1.500000000000e-09,1.525000000000e-09,1.550000000000e-09,-8.706180778972e-06,-8.706180778972e-06,0.000000000000e+00
32,1.550000000000e-09,1.575000000000e-09,1.600000000000e-09,-5.694788796973e-06,-5.694788796973e-06,0.000000000000e+00
33,1.600000000000e-09,1.625000000000e-09,1.650000000000e-09,-8.315187187691e-06,-8.315187187691e-06,0.000000000000e+00
34,1.650000000000e-09,1.675000000000e-09,1.700000000000e-09,-5.729825716116e-06,-5.729825716116e-06,0.000000000000e+00
35,1.700000000000e-09,1.725000000000e-09,1.750000000000e-09,-8.259901733254e-06,-8.259901733254e-06,0.000000000000e+00
36,1.750000000000e-09,1.775000000000e-09,1.800000000000e-09,-5.496910489455e-06,-5.496910489455e-06,0.000000000000e+00
